Date,Price,Open,High,Low,Change %,,,,
Dec-11,1.876,2.079,2.167,1.798,-9.42%,,,,
Nov-11,2.071,2.135,2.153,1.872,-2.13%,,,,
Oct-11,2.116,1.919,2.42,1.717,10.38%,,,,
Sep-11,1.917,2.222,2.278,1.674,-14.19%,,,,
Aug-11,2.234,2.82,2.858,1.976,-19.99%,,,,
Jul-11,2.792,3.162,3.223,2.773,-11.65%,,,,
Jun-11,3.16,3.07,3.221,2.842,3.30%,,,,
May-11,3.059,3.297,3.323,3.041,-7.02%,,,,
Apr-11,3.29,3.476,3.619,3.283,-5.19%,,,,
Mar-11,3.47,3.44,3.598,3.143,1.40%,,,,
Feb-11,3.422,3.372,3.77,3.372,1.42%,,,,
Jan-11,3.374,3.305,3.497,3.253,2.62%,,,,
Dec-10,3.288,2.809,3.568,2.797,17.55%,,,,
Nov-10,2.797,2.621,2.967,2.458,7.45%,,,,
Oct-10,2.603,2.515,2.731,2.334,3.62%,,,,
Sep-10,2.512,2.482,2.849,2.449,1.70%,,,,
Aug-10,2.47,2.925,2.972,2.419,-14.97%,,,,
Jul-10,2.905,2.942,3.132,2.855,-1.02%,,,,
Jun-10,2.935,3.3,3.427,2.928,-11.14%,,,,
May-10,3.303,3.663,3.713,3.064,-9.73%,,,,
Apr-10,3.659,3.839,4.013,3.655,-4.54%,,,,
Mar-10,3.833,3.625,3.928,3.593,5.91%,,,,
Feb-10,3.619,3.606,3.828,3.537,0.86%,,,,
Jan-10,3.588,3.858,3.904,3.563,-6.49%,,,,
Dec-09,3.837,3.207,3.918,3.196,19.98%,,,,
Nov-09,3.198,3.396,3.563,3.154,-5.61%,,,,
Oct-09,3.388,3.318,3.581,3.106,2.51%,,,,
Sep-09,3.305,3.403,3.534,3.272,-2.82%,,,,
Aug-09,3.401,3.512,3.893,3.374,-2.33%,,,,
Jul-09,3.482,3.527,3.766,3.261,-1.55%,,,,
Jun-09,3.537,3.492,4.008,3.454,2.20%,,,,
May-09,3.461,3.115,3.754,3.072,10.97%,,,,
Apr-09,3.119,2.668,3.166,2.65,16.90%,,,,
Mar-09,2.668,3.02,3.045,2.462,-11.68%,,,,
Feb-09,3.021,2.851,3.058,2.619,5.96%,,,,
Jan-09,2.851,2.25,2.894,2.148,28.42%,,,,
Dec-08,2.22,2.96,2.962,2.04,-23.97%,,,,
Nov-08,2.92,3.959,3.984,2.908,-26.45%,,,,
Oct-08,3.97,3.748,4.11,3.402,3.68%,,,,
Sep-08,3.829,3.827,3.909,3.251,0.10%,,,,
Aug-08,3.825,3.958,4.094,3.763,-3.36%,,,,
Jul-08,3.958,3.967,4.178,3.771,-0.43%,,,,
Jun-08,3.975,4.058,4.288,3.858,-2.26%,,,,
May-08,4.067,3.74,4.141,3.683,8.92%,,,,
Apr-08,3.734,3.734,3.734,3.734,9.15%,,,,
Mar-08,3.421,3.421,3.421,3.421,-2.78%,,,,
Feb-08,3.519,3.519,3.519,3.519,-2.17%,,,,
Jan-08,3.597,3.597,3.597,3.597,-10.86%,,,,
Dec-07,4.035,4.035,4.035,4.035,2.18%,,,,
Nov-07,3.949,3.949,3.949,3.949,-11.71%,,,,
Oct-07,4.473,4.473,4.473,4.473,-2.63%,,,,
Sep-07,4.594,4.594,4.594,4.594,1.48%,,,,
Aug-07,4.527,4.527,4.527,4.527,-4.35%,,,,
Jul-07,4.733,4.733,4.733,4.733,-5.85%,,,,
